Subject,Start Date,Start Time,End Date,End Time,Description,Location
IKT418/Forel/01,2015-01-06,12:15,2015-01-06,15:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT418/Forel/01,2015-01-13,12:15,2015-01-13,15:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT418/Seminar/01,2015-01-13,15:15,2015-01-13,16:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT429/Forel/01,2015-01-16,09:15,2015-01-16,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-01-16,12:15,2015-01-16,14:00,Li Frank,CG D3 052 sem
IKT418/Forel/01,2015-01-20,12:15,2015-01-20,15:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT418/Seminar/01,2015-01-20,15:15,2015-01-20,16:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT429/Forel/01,2015-01-23,09:15,2015-01-23,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-01-23,12:15,2015-01-23,14:00,Li Frank,CG D3 052 sem
IKT418/Forel/01,2015-01-27,12:15,2015-01-27,15:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT418/Seminar/01,2015-01-27,15:15,2015-01-27,16:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT429/Forel/01,2015-01-30,09:15,2015-01-30,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-01-30,12:15,2015-01-30,14:00,Li Frank,CG D3 052 sem
IKT411/Forel/01,2015-02-03,10:15,2015-02-03,12:00,Bergsmark Stein. Granmo Ole-Christoffer. Nytun Jan P,CG C4 092 sem
IKT418/Forel/01,2015-02-03,12:15,2015-02-03,15:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT418/Seminar/01,2015-02-03,15:15,2015-02-03,16:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT429/Forel/01,2015-02-06,09:15,2015-02-06,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-02-06,12:15,2015-02-06,14:00,Li Frank,CG D3 052 sem
IKT418/Forel/01,2015-02-10,12:15,2015-02-10,15:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT418/Seminar/01,2015-02-10,15:15,2015-02-10,16:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT424/Forel/01,2015-02-11,09:15,2015-02-11,12:00,Pätzold. Matthias,CG D3 053 sem
IKT424/Øv/01,2015-02-11,12:15,2015-02-11,14:00,Naderi Meisam (s.a.). Pätzold. Matthias,CG D3 053 sem
IKT429/Forel/01,2015-02-13,09:15,2015-02-13,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-02-13,12:15,2015-02-13,14:00,Li Frank,CG D3 052 sem
IKT418/Forel/01,2015-02-17,12:15,2015-02-17,15:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT418/Seminar/01,2015-02-17,15:15,2015-02-17,16:00,Oleshchuk Vladimir A.,CG C4 092 sem
IKT424/Forel/01,2015-02-18,09:15,2015-02-18,12:00,Pätzold. Matthias,CG D3 053 sem
IKT424/Øv/01,2015-02-18,12:15,2015-02-18,14:00,Naderi Meisam (s.a.). Pätzold. Matthias,CG D3 053 sem
IKT429/Forel/01,2015-02-20,09:15,2015-02-20,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-02-20,12:15,2015-02-20,14:00,Li Frank,CG D3 052 sem
IKT411/Forel/01,2015-02-24,10:15,2015-02-24,12:00,Bergsmark Stein. Granmo Ole-Christoffer. Nytun Jan P,CG C4 092 sem
IKT424/Forel/01,2015-02-25,09:15,2015-02-25,12:00,Pätzold. Matthias,CG D3 053 sem
IKT424/Øv/01,2015-02-25,12:15,2015-02-25,14:00,Naderi Meisam (s.a.). Pätzold. Matthias,CG D3 053 sem
IKT429/Forel/01,2015-02-27,09:15,2015-02-27,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-02-27,12:15,2015-02-27,14:00,Li Frank,CG D3 052 sem
IKT424/Forel/01,2015-03-04,09:15,2015-03-04,12:00,Pätzold. Matthias,CG D3 053 sem
IKT424/Øv/01,2015-03-04,12:15,2015-03-04,14:00,Naderi Meisam (s.a.). Pätzold. Matthias,CG D3 053 sem
IKT429/Forel/01,2015-03-06,09:15,2015-03-06,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-03-06,12:15,2015-03-06,14:00,Li Frank,CG D3 052 sem
IKT411/Forel/01,2015-03-17,10:15,2015-03-17,12:00,Bergsmark Stein. Granmo Ole-Christoffer. Nytun Jan P,CG C4 092 sem
IKT424/Forel/01,2015-03-18,09:15,2015-03-18,12:00,Pätzold. Matthias,CG D3 053 sem
IKT424/Øv/01,2015-03-18,12:15,2015-03-18,14:00,Naderi Meisam (s.a.). Pätzold. Matthias,CG D3 053 sem
IKT429/Forel/01,2015-03-20,09:15,2015-03-20,12:00,Li Frank,CG D3 052 sem
IKT429/Øv/01,2015-03-20,12:15,2015-03-20,14:00,Li Frank,CG D3 052 sem
IKT424/Forel/01,2015-03-25,09:15,2015-03-25,12:00,Pätzold. Matthias,CG D3 053 sem
IKT424/Øv/01,2015-03-25,12:15,2015-03-25,14:00,Naderi Meisam (s.a.). Pätzold. Matthias,CG D3 053 sem
IKT424/Forel/01,2015-04-08,09:15,2015-04-08,12:00,Pätzold. Matthias,CG D3 053 sem
IKT424/Øv/01,2015-04-08,12:15,2015-04-08,14:00,Naderi Meisam (s.a.). Pätzold. Matthias,CG D3 053 sem
